count,Region,destination,amount,year,Key
522,Tasman-Nelson-Marlborough,Waikato,20,2016,1
524,Canterbury,Waikato,33,2016,1
526,Otago,Waikato,0,2016,1
527,Southland,Waikato,38,2016,1
529,Northland,Lakes,18,2016,1
531,Auckland,Lakes,39,2016,1
533,Waikato,Lakes,139,2016,1
535,Bay of Plenty,Lakes,143,2016,1
537,Taranaki,Lakes,5,2016,1
540,Manawatu-Wanganui,Lakes,7,2016,1
544,Tasman-Nelson-Marlborough,Lakes,6,2016,1
546,Canterbury,Lakes,7,2016,1
548,Otago,Lakes,0,2016,1
549,Southland,Lakes,15,2016,1
551,Northland,Bay of Plenty,34,2016,1
553,Auckland,Bay of Plenty,70,2016,1
555,Waikato,Bay of Plenty,194,2016,1
557,Bay of Plenty,Bay of Plenty,8011,2016,1
559,Taranaki,Bay of Plenty,10,2016,1
562,Manawatu-Wanganui,Bay of Plenty,7,2016,1
566,Tasman-Nelson-Marlborough,Bay of Plenty,7,2016,1
568,Canterbury,Bay of Plenty,32,2016,1
570,Otago,Bay of Plenty,0,2016,1
571,Southland,Bay of Plenty,26,2016,1
573,Northland,Tairawhiti,4,2016,1
575,Auckland,Tairawhiti,7,2016,1
577,Waikato,Tairawhiti,12,2016,1
579,Bay of Plenty,Tairawhiti,20,2016,1
581,Taranaki,Tairawhiti,0,2016,1
584,Manawatu-Wanganui,Tairawhiti,2,2016,1
588,Tasman-Nelson-Marlborough,Tairawhiti,4,2016,1
590,Canterbury,Tairawhiti,5,2016,1
592,Otago,Tairawhiti,0,2016,1
593,Southland,Tairawhiti,5,2016,1
595,Northland,Taranaki,7,2016,1
597,Auckland,Taranaki,17,2016,1
599,Waikato,Taranaki,27,2016,1
601,Bay of Plenty,Taranaki,13,2016,1
603,Taranaki,Taranaki,4191,2016,1
606,Manawatu-Wanganui,Taranaki,20,2016,1
610,Tasman-Nelson-Marlborough,Taranaki,8,2016,1
612,Canterbury,Taranaki,12,2016,1
614,Otago,Taranaki,0,2016,1
615,Southland,Taranaki,15,2016,1
617,Northland,Hawkes Bay,10,2016,1
619,Auckland,Hawkes Bay,43,2016,1
621,Waikato,Hawkes Bay,63,2016,1
623,Bay of Plenty,Hawkes Bay,35,2016,1
625,Taranaki,Hawkes Bay,15,2016,1
628,Manawatu-Wanganui,Hawkes Bay,23,2016,1
632,Tasman-Nelson-Marlborough,Hawkes Bay,16,2016,1
634,Canterbury,Hawkes Bay,27,2016,1
636,Otago,Hawkes Bay,0,2016,1
637,Southland,Hawkes Bay,13,2016,1
639,Northland,MidCentral,12,2016,1
641,Auckland,MidCentral,19,2016,1
643,Waikato,MidCentral,31,2016,1
645,Bay of Plenty,MidCentral,19,2016,1
647,Taranaki,MidCentral,30,2016,1
650,Manawatu-Wanganui,MidCentral,92,2016,1
654,Tasman-Nelson-Marlborough,MidCentral,16,2016,1
656,Canterbury,MidCentral,23,2016,1
658,Otago,MidCentral,0,2016,1
659,Southland,MidCentral,8,2016,1
661,Northland,Whanganui,9,2016,1
663,Auckland,Whanganui,14,2016,1
665,Waikato,Whanganui,32,2016,1
667,Bay of Plenty,Whanganui,16,2016,1
669,Taranaki,Whanganui,32,2016,1
672,Manawatu-Wanganui,Whanganui,2884,2016,1
676,Tasman-Nelson-Marlborough,Whanganui,6,2016,1
678,Canterbury,Whanganui,14,2016,1
680,Otago,Whanganui,0,2016,1
681,Southland,Whanganui,10,2016,1
683,Northland,Capital and Coast,37,2016,1
685,Auckland,Capital and Coast,130,2016,1
687,Waikato,Capital and Coast,156,2016,1
689,Bay of Plenty,Capital and Coast,65,2016,1
691,Taranaki,Capital and Coast,129,2016,1
694,Manawatu-Wanganui,Capital and Coast,223,2016,1
698,Tasman-Nelson-Marlborough,Capital and Coast,74,2016,1
700,Canterbury,Capital and Coast,111,2016,1
702,Otago,Capital and Coast,0,2016,1
703,Southland,Capital and Coast,77,2016,1
705,Northland,Hutt Valley,6,2016,1
707,Auckland,Hutt Valley,10,2016,1
709,Waikato,Hutt Valley,11,2016,1
711,Bay of Plenty,Hutt Valley,10,2016,1
713,Taranaki,Hutt Valley,0,2016,1
716,Manawatu-Wanganui,Hutt Valley,9,2016,1
720,Tasman-Nelson-Marlborough,Hutt Valley,8,2016,1
722,Canterbury,Hutt Valley,13,2016,1
724,Otago,Hutt Valley,0,2016,1
725,Southland,Hutt Valley,4,2016,1
727,Northland,Wairarapa,2,2016,1
729,Auckland,Wairarapa,2,2016,1
731,Waikato,Wairarapa,3,2016,1
733,Bay of Plenty,Wairarapa,5,2016,1
735,Taranaki,Wairarapa,5,2016,1
738,Manawatu-Wanganui,Wairarapa,2,2016,1
742,Tasman-Nelson-Marlborough,Wairarapa,8,2016,1
744,Canterbury,Wairarapa,4,2016,1
746,Otago,Wairarapa,0,2016,1
747,Southland,Wairarapa,2,2016,1
749,Northland,Nelson Marlborough,10,2016,1
751,Auckland,Nelson Marlborough,17,2016,1
