Measure,,,Average Wage and Salary Income,,Average Self-employment Income,,Average Government Transfer Income,,Average Income from All Sources collected,,Median Wage and Salary Income,,Median Self-employment Income,,Median Government Transfer Income,,Median Income from All Sources collected,,Number of households (000),
Year,Region,,,,,,,,,,,,,,,,,,,
,  Wellington Region,,,1093,,170,,98,,1360,,938,,0,,0,,1168,,156.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,843,,232,,99,,1163,,731,,0,,0,,1051,,55.5
,  Canterbury Region,,,977,,233,,94,,1300,,863,,0,,0,,1106,,186.8
,  Otago Region,,,866,,202,,93,,1161,,738,,0,,0,,960,,68.5
,  Southland Region,,,864,,208,,75,,1148,,818,,0,,0,,1012,,32.8
2007,Total Regions,,,1018,,221,,109,,1345,,863,,0,,0,,1151,,1393.1
,  Northland Region,,,796,,249,,135,,1174,,675,,0,,0,,960,,50.3
,  Auckland Region,,,1101,,226,,103,,1425,,931,,0,,0,,1218,,450.7
,  Waikato Region,,,925,,261,,114,,1300,,825,,0,,0,,1128,,128.5
,  Bay of Plenty Region,,,897,,237,,118,,1242,,806,,0,,0,,1108,,82.1
,  Gisborne/Hawkes Bay Regions,,,872,,164,,133,,1168,,783,,0,,0,,1072,,63.5
,  Taranaki Region,,,873,,291,,109,,1272,,767,,0,,0,,1151,,35.3
,  Manawatu-Wanganui Region,,,801,,162,,139,,1098,,672,,0,,0,,973,,75.9
,  Wellington Region,,,1255,,236,,101,,1588,,1009,,0,,0,,1310,,164.6
,  Tasman/Nelson/Marlborough/West Coast Regions,,,913,,258,,101,,1268,,824,,0,,0,,1130,,55.2
,  Canterbury Region,,,1037,,184,,107,,1327,,933,,0,,0,,1167,,186
,  Otago Region,,,901,,183,,105,,1182,,786,,0,,0,,1036,,68.5
,  Southland Region,,,931,,248,,78,,1257,,863,,0,,0,,1130,,32.3
2008,Total Regions,,,1049,,227,,111,,1384,,910,,0,,0,,1200,,1401
,  Northland Region,,,702,,186,,143,,1030,,530,,0,,0,,911,,52.5
,  Auckland Region,,,1141,,268,,108,,1516,,959,,0,,0,,1304,,457.5
,  Waikato Region,,,960,,241,,115,,1313,,844,,0,,0,,1200,,130
,  Bay of Plenty Region,,,946,,183,,118,,1244,,840,,0,,0,,1110,,82.8
,  Gisborne/Hawkes Bay Regions,,,947,,155,,137,,1235,,896,,0,,0,,1125,,65.6
,  Taranaki Region,,,990,,308,,99,,1400,,863,,0,,0,,1199,,34.7
,  Manawatu-Wanganui Region,,,863,,146,,134,,1137,,789,,0,,0,,1038,,76.1
,  Wellington Region,,,1238,,207,,102,,1538,,1074,,0,,0,,1365,,163
,  Tasman/Nelson/Marlborough/West Coast Regions,,,957,,253,,109,,1310,,863,,0,,0,,1151,,57.3
,  Canterbury Region,,,1078,,211,,100,,1386,,960,,0,,0,,1222,,181.5
,  Otago Region,,,900,,182,,109,,1196,,811,,0,,0,,1039,,68.5
,  Southland Region,,,984,,262,,94,,1329,,905,,0,,0,,1167,,31.5
2009,Total Regions,,,1061,,217,,120,,1395,,903,,0,,0,,1189,,1420.2
,  Northland Region,,,771,,199,,168,,1143,,632,,0,,0,,1001,,51.1
,  Auckland Region,,,1134,,217,,118,,1466,,940,,0,,0,,1247,,462.4
,  Waikato Region,,,971,,245,,127,,1342,,844,,0,,0,,1197,,133
,  Bay of Plenty Region,,,945,,178,,155,,1275,,800,,0,,0,,1151,,84.8
,  Gisborne/Hawkes Bay Regions,,,938,,181,,154,,1267,,849,,0,,0,,1105,,64.7
,  Taranaki Region,,,1014,,277,,104,,1385,,892,,0,,0,,1216,,34.9
,  Manawatu-Wanganui Region,,,902,,122,,138,,1156,,800,,0,,0,,1040,,78.7
,  Wellington Region,,,1254,,336,,88,,1674,,1075,,0,,0,,1293,,162.7
,  Tasman/Nelson/Marlborough/West Coast Regions,,,988,,233,,121,,1343,,883,,0,,0,,1177,,57.4
